material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-626084,Mo2HO6,8,Cm,9,0.104541218234118,False,0.9999786615371704,0.034533355385065,True,False,False,0.5172560084611177,False,model_prediction,True
mp-1246364,Re3Pb3N5,2,P-1,22,0.248681278636361,False,0.034511525183916,0.9999957084655762,False,True,False,0.5172536168247461,False,model_prediction,True
mp-1227711,Ca4CoSi8(NiO8)3,3,P2,40,0.007684386895832,False,0.9999524354934692,0.0337536893784999,True,False,False,0.5168530624359846,False,model_prediction,True
mp-554885,Ba3Si6N4O9,143,P3,22,0.0,True,0.9999493360519408,0.0335177816450595,True,False,False,0.5167335588485003,False,model_prediction,True
mp-1226610,CeY4S7,8,Cm,12,0.032758345000043,False,0.0334729589521884,0.9999935626983644,False,True,False,0.5167332608252764,False,model_prediction,True
mp-759722,SiH8(NF3)2,186,P6_3mc,34,0.0,True,0.0332574881613254,0.9999504089355468,False,True,False,0.5166039485484362,False,model_prediction,True
mp-1194756,Na4LuC3O9F,9,Cc,72,0.0,True,0.0330208502709865,0.999994158744812,False,True,False,0.5165075045078993,False,model_prediction,True
mp-850193,HoBO3,2,P-1,20,0.033013539,False,0.9965014457702636,0.0363627597689628,True,False,False,0.5164321027696133,False,model_prediction,True
mp-1222742,Li2MgSiO4,33,Pna2_1,32,0.0029034259375,False,0.0327785462141037,0.999997854232788,False,True,False,0.5163882002234459,False,model_prediction,True
mp-1220996,NaP4(RuO7)2,1,P1,21,0.0,True,0.032714981585741,0.9999774694442748,False,True,False,0.516346225515008,False,model_prediction,True
mp-1201217,CsVSeO5,4,P2_1,32,0.0,True,0.032667513936758,0.9999980926513672,False,True,False,0.5163328032940626,False,model_prediction,True
mp-2219315,MgTe6Mo2(WS)2,1,P1,13,0.280764094615384,False,0.9999487400054932,0.0325070433318614,True,False,False,0.5162278916686773,False,model_prediction,True
